Type,Name,Offroad,Top Speed,Acceleration,Durability,Handling,Description,Car on Demand Cost,Unlock
Budget,Bogen 200,,0.5,3,1.5,3.5,An aptly-named Europea subcmpact.,0,
Budget,Cavale,,0.5,4,1.5,3,An everyday American sedan.,0,
Budget,Fasto,,0.5,2.5,1.5,3.5,A Japanese import with a poorly-translated name.,0,
Budget,Kigan AWD,,1,3.5,2,3,An affordable entry-level SUV.,0,
Budget,Koln 500S,,2.5,4,2,3.5,A precision-engineered German luxury sedan.,0,
Budget,Landrock Van 1500,,1,3,2,2.5,A common van used by professionals everywhere.,0,
Budget,Landrock Van 2500,,0.5,3.5,2,2.5,A medium-sized work van.,,
Budget,Leo,,1,4,1.5,2.5,A top-selling Japanese import.,,
Budget,Lithium SP,,0.5,2.5,1.5,3,Your run-of-the-mill vehicle.,,
Budget,Philandra,,1,3.5,2,1.5,An unfortunately-named luxury limo.,,
Budget,Relegate V6,,0.5,4,1.5,2.5,An average commuter car.,,,
Budget,Relegater,,0.5,2.5,2,2,A standard delivery truck.,,
Budget,Sculptor 2.5R,,1.5,3,1.5,3,This low-cost compact is popular with new drivers.,0,
Budget,Sumitzu Auto 1.6,,1,3,1.5,3,"A cheap, barebones economy car.",,
Budget,Talos,,1.5,3.5,2,3,An ideal car for soccer moms and soccer dads.,,
Budget,Vessel,,1.5,4,1.5,2.5,A common American economy car.,,
Budget,Woodie,,0.5,4,1.5,2,This wagon is well-suited for family vacations.,,
Budget,Zusume,,0.5,3,1.5,3,An affordable everyday commuter car.,,
Budget,Crosscountry Series,,,,,,,,
Heavy,Flatbed Truck,,2.5,0.5,4.5,2.5,This large truck can plow through traffic.,,
Heavy,Garbage Truck,,1.5,0.5,4.5,2.5,A very sturdy garbage truck.,,
Heavy,WKZ-TV Truck,,2.5,1,4.5,2.5,A well-built news truck.,500,
Heavy,Cement Truck,,2.5,1,4.5,2.5,An industrial cement truck.,1000,
Heavy,Fire Truck,,2.5,2.5,4.5,2,A tough fire truck.,2000,
Heavy,Convoy,,2.5,2,5,2,A powerful armored truck.,3000,
Heavy,Ambulance,,,,,,,,
Motorcycle,Kodachi,,3,4.5,0.5,4.5,A Japanese take on a classic design.,,
Motorcycle,Kuruhawa Motorsport 450,Yes,2.5,4.5,0.5,4.5,"A popular Japanese dirt bike, great for going off-road.",2000,
Motorcycle,Chopper,,3.5,4.5,1.5,4,"A classic American chopper, timeless",5000,
Motorcycle,Sayonara,,4,5,0.5,4.5,A popular Japanese sport bike.,10000,
Motorcycle,Sayonara LE,,,,,,,,
Muscle,571,,4,4,2,1.5,A definitive 80s muscle car.,,
Muscle,Adamant S-Series,,4,4.5,2,3.5,An American luxury car with a lot unde the hood.,,
Muscle,Vespid 5.2,,,,,,,,
Muscle,3.9T,,,,,,,5000,
Muscle,Hailkal R,,,,,,,15000,
Muscle,Vespid HMI,,,,,,,15000,
Muscle,Magnate,,,,,,,25000,
Muscle,Sonarus LX,,,,,,,25000,
Muscle,Gambino,,,,,,,,
Muscle,Magnate LE,,,,,,,,
Muscle,Vespid LE,,,,,,,,
Performance,Amargosa Turbo,,4.5,4.5,1.5,3.5,A modern Italian speedster made to turn heads.,,
Performance,336-TT,,5,4.5,1.5,2,A rear-wheel drive German classic.,20000,
Performance,Boxberg R1,,,,,,,20000,
Performance,Papavero,,,,,,,50000,
Performance,Scafati GT,,,,,,,50000,
Performance,Boxberg LE,,,,,,,,
Performance,Livraga LE,,,,,,,,
Performance,Papavero Stealth Edition,,,,,,,,Uplay
Performance,Rosewood,,,,,,,,
Performance,550S,,,,,,,20000,
Performance,Livraga 350,,5,5,1.5,3,A renowned Italian supercar.,200000,
Sport,Core-T,,,,,,,,
Sport,Kirscher,,,,,,,,
Sport,Zusume R,,,,,,,,
Sport,Sunrim,,,,,,,,
Sport,Rotor,,,,,,,2000,
Sport,Carrozza,,,,,,,15000,
Sport,Luciano,,,,,,,,
Truck,Steadfast 3000,Yes,,,,,,,
Truck,Tributary 3500,Yes,,,,,,1000,
Truck,Polar,Yes,,,,,,3000,
Truck,Tributary 1500,Yes,,,,,,5000,
